_id,inmersion_id,temperatura_agua_celsius,nivel_experiencia,condiciones_mar,tipo_gas_usado,volumen_tanque_l,tipo,fase,profundidad_actual_m,tiempo_transcurrido_min,aire_restante_bar,parada_de_seguridad,timestamp,tiempo_total_min,deco_required,deco_performed,safety_required,safety_performed,out_of_air,reserve_ok,inmersion_segura,temperatura_agua_celsius_resumen,nivel_experiencia_resumen,condiciones_mar_resumen,tipo_gas_usado_resumen,volumen_tanque_l_resumen,tipo_resumen,fase_resumen,profundidad_actual_m_resumen,tiempo_transcurrido_min_resumen,aire_restante_bar_resumen,parada_de_seguridad_resumen,timestamp_resumen,tiempo_total_min_resumen,deco_required_resumen,deco_performed_resumen,safety_required_resumen,safety_performed_resumen,out_of_air_resumen,reserve_ok_resumen,inmersion_segura_resumen
681b2a2e1563ed46a85f248b,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,descenso,13.0,1.0,292.1,No,2025-05-07 09:38:54.842,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a301563ed46a85f248c,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,2.0,283.3,No,2025-05-07 09:38:56.914,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a321563ed46a85f248d,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,3.0,274.3,No,2025-05-07 09:38:58.985,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a351563ed46a85f248e,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,4.0,264.9,No,2025-05-07 09:39:01.037,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a371563ed46a85f248f,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,5.0,256.3,No,2025-05-07 09:39:03.107,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a391563ed46a85f2490,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,6.0,247.8,No,2025-05-07 09:39:05.146,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a3b1563ed46a85f2491,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,7.0,238.8,No,2025-05-07 09:39:07.205,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a3d1563ed46a85f2492,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,8.0,230.0,No,2025-05-07 09:39:09.277,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a3f1563ed46a85f2493,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,9.0,221.2,No,2025-05-07 09:39:11.305,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a411563ed46a85f2494,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,10.0,212.0,No,2025-05-07 09:39:13.373,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a431563ed46a85f2495,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,11.0,202.9,No,2025-05-07 09:39:15.443,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a451563ed46a85f2496,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,12.0,193.9,No,2025-05-07 09:39:17.482,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a471563ed46a85f2497,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,13.0,184.7,No,2025-05-07 09:39:19.542,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
681b2a491563ed46a85f2498,SIM_001,19.6,Principiante,Agitado,Nitrox,10.0,fase,fondo,13.0,14.0,176.5,No,2025-05-07 09:39:21.596,,,,,,,,,19.6,Principiante,Agitado,Nitrox,10.0,,,0.0,,0.0,,2025-05-07 09:40:14.783,39.0,No,No,Sí,Sí,Sí,No,No
